nome,data,alta,baixa,abertura,fechamento,volume,capitalizacao_de_mercado,valorizacao,ano,dia_semana,retorno_acumulado,mudanca_preco
Litecoin,2019-10-09,59.9328037694,56.9787064894,57.4204830095,59.430865842,2790624239,3769908817,2.0103828324999995,2019,Quarta-feira,12.55661935664479,0.03540643074123784
Litecoin,2019-10-10,59.4088504215,57.4306879601,59.401574968,57.7760831796,2440262585,3665380676,-1.625491788399998,2019,Quinta-feira,12.17915121186339,-0.027843825577088643
Litecoin,2019-10-11,58.2423748429,55.9958666657,57.7694231647,56.296968974,2441054545,3571918357,-1.4724541906999988,2019,Sexta-feira,11.84175433927476,-0.02560080441940127
Litecoin,2019-10-12,56.9309745093,55.7415978977,56.4043895021,55.9828696793,2098404880,3552381331,-0.42151982280000055,2019,Sábado,11.770105970735775,-0.005579328699651054
Litecoin,2019-10-13,57.7263237484,55.8765397631,55.9418740985,56.7139949094,2235957909,3599137699,0.7721208108999988,2019,Domingo,11.936881034603354,0.013059802655495778
Litecoin,2019-10-14,57.3296093037,56.4776499907,56.7181574139,56.9754006967,2243495397,3616122089,0.25724328279999753,2019,Segunda-feira,11.9965096249973,0.004609193686983204
Litecoin,2019-10-15,57.3745661422,54.7116408148,57.0073192517,54.9442081295,2602960066,3487585899,-2.0631111221999987,2019,Terça-feira,11.533179601389993,-0.03565034282097901
Litecoin,2019-10-16,55.5513979784,52.1656215644,54.9866277814,52.9231066814,2978803244,3359652970,-2.0635211000000027,2019,Quarta-feira,11.072151436565713,-0.03678461328146532
Litecoin,2019-10-17,55.1264267478,52.3513354897,52.8972314021,54.8844752045,2925315824,3484535289,1.9872438024000019,2019,Quinta-feira,11.519554080108898,0.037060721603279
Litecoin,2019-10-18,55.0357810312,52.7949983481,54.9347587338,53.4916924251,2683486531,3396445202,-1.4430663087000042,2019,Sexta-feira,11.201850043337622,-0.02537662561608689
Litecoin,2019-10-19,54.4642311609,53.0744036621,53.4651334904,54.0345715635,2453091268,3431292105,0.5694380731000024,2019,Sábado,11.32568478361413,0.010148849546313343
Litecoin,2019-10-20,55.4424601727,53.2180639037,54.0631227062,54.9343797095,2612273453,3488800281,0.871257003300002,2019,Domingo,11.530937666211537,0.01665245267916249
Litecoin,2019-10-21,55.5556578896,54.0245712345,54.916086856,54.9382982595,2727253951,3489419289,0.022211403500001836,2019,Segunda-feira,11.531831516402468,7.13314689402278e-05
Litecoin,2019-10-22,55.2883881707,53.6433742798,54.9282615548,53.7443620925,2490194232,3413955637,-1.1838994623000048,2019,Terça-feira,11.259485860271845,-0.021732310698093893
